id_tarifa;id_tipo_tarifa;id_pedagio;multiplicador;valor;data_criacao;data_atualizacao;situacao;tipo
1;1;2;1;10;2021-06-01 00:00:00.000000;2021-06-01 00:00:00.000000;Ativo;Normal
2;2;2;1;20;2021-06-01 00:00:00.000000;2021-06-01 00:00:00.000000;Ativo;Normal
3;3;2;1;30;2021-06-01 00:00:00.000000;2021-06-01 00:00:00.000000;Ativo;Normal
4;4;2;1;40;2021-06-01 00:00:00.000000;2021-06-01 00:00:00.000000;Ativo;Normal
5;5;2;1;50;2021-06-01 00:00:00.000000;2021-06-01 00:00:00.000000;Ativo;Normal
6;6;2;1;60;2021-06-01 00:00:00.000000;2021-06-01 00:00:00.000000;Ativo;Normal
7;7;2;1;70;2021-06-01 00:00:00.000000;2021-06-01 00:00:00.000000;Ativo;Normal
8;8;2;1;80;2021-06-01 00:00:00.000000;2021-06-01 00:00:00.000000;Ativo;Normal
9;9;2;1;90;2021-06-01 00:00:00.000000;2021-06-01 00:00:00.000000;Ativo;Normal
10;10;2;1;100;2021-06-01 00:00:00.000000;2021-06-01 00:00:00.000000;Ativo;Normal
11;11;2;1;110;2021-06-01 00:00:00.000000;2021-06-01 00:00:00.000000;Ativo;Normal
12;12;2;1;120;2021-06-01 00:00:00.000000;2021-06-01 00:00:00.000000;Ativo;Normal
13;13;2;1;130;2021-06-01 00:00:00.000000;2021-06-01 00:00:00.000000;Ativo;Normal
14;14;2;1;140;2021-06-01 00:00:00.000000;2021-06-01 00:00:00.000000;Ativo;Normal
15;15;2;1;150;2021-06-01 00:00:00.000000;2021-06-01 00:00:00.000000;Ativo;Normal
16;16;2;1;160;2021-06-01 00:00:00.000000;2021-06-01 00:00:00.000000;Ativo;Normal
17;17;2;1;170;2021-06-01 00:00:00.000000;2021-06-01 00:00:00.000000;Ativo;Normal
